text,entities
Seeking competitive education loan with low interest rates,"[{'start': 20, 'end': 34, 'label': 'EDUCATION_LOAN'}]"
I want to apply for a easy home loan with low interest rates,"[{'start': 27, 'end': 36, 'label': 'HOME_LOAN'}]"
Seeking easy bike loan to help me finance,"[{'start': 13, 'end': 22, 'label': 'BIKE_LOAN'}]"
I want to apply for a quick car loan with low interest rates,"[{'start': 28, 'end': 36, 'label': 'CAR_LOAN'}]"
I want to apply for a quick bike loan to help me finance,"[{'start': 28, 'end': 37, 'label': 'BIKE_LOAN'}]"
Seeking flexible home loan to help me finance,"[{'start': 17, 'end': 26, 'label': 'HOME_LOAN'}]"
Need information about flexible car loan for better financial planning,"[{'start': 32, 'end': 40, 'label': 'CAR_LOAN'}]"
Need information about flexible education loan for better financial planning,"[{'start': 32, 'end': 46, 'label': 'EDUCATION_LOAN'}]"
Interested in a convenient bike loan with flexible terms,"[{'start': 27, 'end': 36, 'label': 'BIKE_LOAN'}]"
Looking for a flexible bike loan with low interest rates,"[{'start': 23, 'end': 32, 'label': 'BIKE_LOAN'}]"
I want to apply for a digital bike loan for better financial planning,"[{'start': 30, 'end': 39, 'label': 'BIKE_LOAN'}]"
Seeking instant personal loan with low interest rates,"[{'start': 16, 'end': 29, 'label': 'PERSONAL_LOAN'}]"
Looking for a easy home loan to help me finance,"[{'start': 19, 'end': 28, 'label': 'HOME_LOAN'}]"
I want to apply for a online education loan for better financial planning,"[{'start': 29, 'end': 43, 'label': 'EDUCATION_LOAN'}]"
I want to apply for a instant home loan for better financial planning,"[{'start': 30, 'end': 39, 'label': 'HOME_LOAN'}]"
Seeking quick bike loan with low interest rates,"[{'start': 14, 'end': 23, 'label': 'BIKE_LOAN'}]"
I want to apply for a reliable education loan for better financial planning,"[{'start': 31, 'end': 45, 'label': 'EDUCATION_LOAN'}]"
I want to apply for a convenient education loan for better financial planning,"[{'start': 33, 'end': 47, 'label': 'EDUCATION_LOAN'}]"
Seeking convenient car loan for better financial planning,"[{'start': 19, 'end': 27, 'label': 'CAR_LOAN'}]"
I want to apply for a reliable home loan with flexible terms,"[{'start': 31, 'end': 40, 'label': 'HOME_LOAN'}]"
